武器类别	战斗站立	普通站立1	普通站立2	战斗行走	普通行走	战斗跑步	普通跑步	受伤	死亡	攻击1	攻击2	魔法	打坐	跳跃
enemy003	enemy003_st.spr	enemy003_st.spr	enemy003_pst.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_bat.spr	enemy003_die.spr	enemy003_at.spr	enemy003_at.spr	enemy003_at.spr		
enemy004	enemy004_st.spr	enemy004_st.spr	enemy004_pst.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_bat.spr	enemy004_die.spr	enemy004_at.spr	enemy004_at.spr	enemy004_at.spr		
enemy005	enemy005_st.spr	enemy005_st.spr	enemy005_pst.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_bat.spr	enemy005_die.spr	enemy005_at.spr	enemy005_at.spr	enemy005_at.spr		
enemy006	enemy006_st.spr	enemy006_st.spr	enemy006_pst.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_bat.spr	enemy006_die.spr	enemy006_at.spr	enemy006_at.spr	enemy006_at.spr		
enemy007	enemy007_st.spr	enemy007_st.spr	enemy007_pst.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_bat.spr	enemy007_die.spr	enemy007_at.spr	enemy007_at.spr	enemy007_at.spr		
enemy015	enemy015_st.spr	enemy015_st.spr	enemy015_pst.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_bat.spr	enemy015_die.spr	enemy015_at.spr	enemy015_at.spr	enemy015_at.spr		
enemy016	enemy016_st.spr	enemy016_st.spr	enemy016_pst.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_bat.spr	enemy016_die.spr	enemy016_at.spr	enemy016_at.spr	enemy016_at.spr		
enemy017	enemy017_st.spr	enemy017_st.spr	enemy017_pst.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_bat.spr	enemy017_die.spr	enemy017_at.spr	enemy017_at.spr	enemy017_at.spr		
enemy021	enemy021_st.spr	enemy021_st.spr	enemy021_pst.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_bat.spr	enemy021_die.spr	enemy021_at.spr	enemy021_at.spr	enemy021_at.spr		
enemy022	enemy022_st.spr	enemy022_st.spr	enemy022_pst.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_bat.spr	enemy022_die.spr	enemy022_at.spr	enemy022_at.spr	enemy022_at.spr		
enemy023	enemy023_st.spr	enemy023_st.spr	enemy023_pst.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_bat.spr	enemy023_die.spr	enemy023_at.spr	enemy023_at.spr	enemy023_at.spr		
enemy024	enemy024_st.spr	enemy024_st.spr	enemy024_pst.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_bat.spr	enemy024_die.spr	enemy024_at.spr	enemy024_at.spr	enemy024_at.spr		
enemy026	enemy026_st.spr	enemy026_st.spr	enemy026_pst.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_bat.spr	enemy026_die.spr	enemy026_at.spr	enemy026_at.spr	enemy026_at.spr		
enemy028	enemy028_st.spr	enemy028_st.spr	enemy028_pst.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_bat.spr	enemy028_die.spr	enemy028_at.spr	enemy028_at.spr	enemy028_at.spr		
enemy029	enemy029_st.spr	enemy029_st.spr	enemy029_pst.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_bat.spr	enemy029_die.spr	enemy029_at.spr	enemy029_at.spr	enemy029_at.spr		
enemy180	enemy180_st.spr	enemy180_st.spr	enemy180_st.spr	enemy180_st.spr	enemy180_st.spr	enemy180_st.spr	enemy180_st.spr	enemy180_bat.spr	enemy180_bat.spr	enemy180_st.spr	enemy180_st.spr	enemy180_st.spr
enemy181	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr	enemy181_st.spr
ani001	ani001_st.spr	ani001_st.spr	ani001_pst.spr	ani001_wlk.spr	ani001_wlk.spr	ani001_wlk.spr	ani001_wlk.spr	ani001_bat.spr	ani001_die.spr	ani001_at.spr	ani001_at.spr	ani001_at.spr
ani002	ani002_st.spr	ani002_st.spr	ani002_pst.spr	ani002_wlk.spr	ani002_wlk.spr	ani002_wlk.spr	ani002_wlk.spr	ani002_bat.spr	ani002_die.spr	ani002_at.spr	ani002_at.spr	ani002_at.spr
ani003	ani003_st.spr	ani003_st.spr	ani003_pst.spr	ani003_wlk.spr	ani003_wlk.spr	ani003_wlk.spr	ani003_wlk.spr	ani003_bat.spr	ani003_die.spr	ani003_at.spr	ani003_at.spr	ani003_at.spr
ani005	ani005_st.spr	ani005_st.spr	ani005_pst.spr	ani005_wlk.spr	ani005_wlk.spr	ani005_wlk.spr	ani005_wlk.spr	ani005_bat.spr	ani005_die.spr	ani005_at.spr	ani005_at.spr	ani005_at.spr
ani006	ani006_st.spr	ani006_st.spr	ani006_pst.spr	ani006_wlk.spr	ani006_wlk.spr	ani006_wlk.spr	ani006_wlk.spr	ani006_bat.spr	ani006_die.spr	ani006_at.spr	ani006_at.spr	ani006_at.spr
ani009	ani009_st.spr	ani009_st.spr	ani009_pst.spr	ani009_wlk.spr	ani009_wlk.spr	ani009_wlk.spr	ani009_wlk.spr	ani009_bat.spr	ani009_die.spr	ani009_at.spr	ani009_at.spr	ani009_at.spr
ani010	ani010_st.spr	ani010_st.spr	ani010_pst.spr	ani010_wlk.spr	ani010_wlk.spr	ani010_wlk.spr	ani010_wlk.spr	ani010_bat.spr	ani010_die.spr	ani010_at.spr	ani010_at.spr	ani010_at.spr
ani011	ani011_st.spr	ani011_st.spr	ani011_pst.spr	ani011_wlk.spr	ani011_wlk.spr	ani011_wlk.spr	ani011_wlk.spr	ani011_bat.spr	ani011_die.spr	ani011_at.spr	ani011_at.spr	ani011_at.spr
ani012	ani012_st.spr	ani012_st.spr	ani012_pst.spr	ani012_wlk.spr	ani012_wlk.spr	ani012_wlk.spr	ani012_wlk.spr	ani012_bat.spr	ani012_die.spr	ani012_at.spr	ani012_at.spr	ani012_at.spr
ani013	ani013_st.spr	ani013_st.spr	ani013_pst.spr	ani013_wlk.spr	ani013_wlk.spr	ani013_wlk.spr	ani013_wlk.spr	ani013_bat.spr	ani013_die.spr	ani013_at.spr	ani013_at.spr	ani013_at.spr
ani015	ani015_st.spr	ani015_st.spr	ani015_pst.spr	ani015_wlk.spr	ani015_wlk.spr	ani015_wlk.spr	ani015_wlk.spr	ani015_bat.spr	ani015_die.spr	ani015_at.spr	ani015_at.spr	ani015_at.spr
ani018	ani018_st.spr	ani018_st.spr	ani018_pst.spr	ani018_wlk.spr	ani018_wlk.spr	ani018_wlk.spr	ani018_wlk.spr	ani018_bat.spr	ani018_die.spr	ani018_at.spr	ani018_at.spr	ani018_at.spr
ani019	ani019_st.spr	ani019_st.spr	ani019_pst.spr	ani019_wlk.spr	ani019_wlk.spr	ani019_wlk.spr	ani019_wlk.spr	ani019_bat.spr	ani019_die.spr	ani019_at.spr	ani019_at.spr	ani019_at.spr
ani021	ani021_st.spr	ani021_st.spr	ani021_pst.spr	ani021_wlk.spr	ani021_wlk.spr	ani021_wlk.spr	ani021_wlk.spr	ani021_bat.spr	ani021_die.spr	ani021_at.spr	ani021_at.spr	ani021_at.spr
ani024	ani024_st.spr	ani024_st.spr	ani024_pst.spr	ani024_wlk.spr	ani024_wlk.spr	ani024_wlk.spr	ani024_wlk.spr	ani024_bat.spr	ani024_die.spr	ani024_at.spr	ani024_at.spr	ani024_at.spr
ani025	ani025_st.spr	ani025_st.spr	ani025_pst.spr	ani025_wlk.spr	ani025_wlk.spr	ani025_wlk.spr	ani025_wlk.spr	ani025_bat.spr	ani025_die.spr	ani025_at.spr	ani025_at.spr	ani025_at.spr
ani026	ani026_st.spr	ani026_st.spr	ani026_pst.spr	ani026_wlk.spr	ani026_wlk.spr	ani026_wlk.spr	ani026_wlk.spr	ani026_bat.spr	ani026_die.spr	ani026_at.spr	ani026_at.spr	ani026_at.spr
ani029	ani029_st.spr	ani029_st.spr	ani029_pst.spr	ani029_wlk.spr	ani029_wlk.spr	ani029_wlk.spr	ani029_wlk.spr	ani029_bat.spr	ani029_die.spr	ani029_at.spr	ani029_at.spr	ani029_at.spr
ani033	ani033_st.spr	ani033_st.spr	ani033_pst.spr	ani033_wlk.spr	ani033_wlk.spr	ani033_wlk.spr	ani033_wlk.spr	ani033_bat.spr	ani033_die.spr	ani033_at.spr	ani033_at.spr	ani033_at.spr
ani036	ani036_st.spr	ani036_st.spr	ani036_pst.spr	ani036_wlk.spr	ani036_wlk.spr	ani036_wlk.spr	ani036_wlk.spr	ani036_bat.spr	ani036_die.spr	ani036_at.spr	ani036_at.spr	ani036_at.spr
ani037	ani037_st.spr	ani037_st.spr	ani037_pst.spr	ani037_wlk.spr	ani037_wlk.spr	ani037_wlk.spr	ani037_wlk.spr	ani037_bat.spr	ani037_die.spr	ani037_at.spr	ani037_at.spr	ani037_at.spr
ani038	ani038_st.spr	ani038_st.spr	ani038_pst.spr	ani038_wlk.spr	ani038_wlk.spr	ani038_wlk.spr	ani038_wlk.spr	ani038_bat.spr	ani038_die.spr	ani038_at.spr	ani038_at.spr	ani038_at.spr
ani039	ani039_st.spr	ani039_st.spr	ani039_pst.spr	ani039_wlk.spr	ani039_wlk.spr	ani039_wlk.spr	ani039_wlk.spr	ani039_bat.spr	ani039_die.spr	ani039_at.spr	ani039_at.spr	ani039_at.spr
ani040	ani040_st.spr	ani040_st.spr	ani040_pst.spr	ani040_wlk.spr	ani040_wlk.spr	ani040_wlk.spr	ani040_wlk.spr	ani040_bat.spr	ani040_die.spr	ani040_at.spr	ani040_at.spr	ani040_at.spr
ani041	ani041_st.spr	ani041_st.spr	ani041_pst.spr	ani041_wlk.spr	ani041_wlk.spr	ani041_wlk.spr	ani041_wlk.spr	ani041_bat.spr	ani041_die.spr	ani041_at.spr	ani041_at.spr	ani041_at.spr
ani042	ani042_st.spr	ani042_st.spr	ani042_pst.spr	ani042_wlk.spr	ani042_wlk.spr	ani042_wlk.spr	ani042_wlk.spr	ani042_bat.spr	ani042_die.spr	ani042_at.spr	ani042_at.spr	ani042_at.spr
ani043	ani043_st.spr	ani043_st.spr	ani043_pst.spr	ani043_wlk.spr	ani043_wlk.spr	ani043_wlk.spr	ani043_wlk.spr	ani043_bat.spr	ani043_die.spr	ani043_at.spr	ani043_at.spr	ani043_at.spr
ani045	ani045_st.spr	ani045_st.spr	ani045_pst.spr	ani045_wlk.spr	ani045_wlk.spr	ani045_wlk.spr	ani045_wlk.spr	ani045_bat.spr	ani045_die.spr	ani045_at.spr	ani045_at.spr	ani045_at.spr
ani046	ani046_st.spr	ani046_st.spr	ani046_pst.spr	ani046_wlk.spr	ani046_wlk.spr	ani046_wlk.spr	ani046_wlk.spr	ani046_bat.spr	ani046_die.spr	ani046_at.spr	ani046_at.spr	ani046_at.spr
ani047	ani047_st.spr	ani047_st.spr	ani047_pst.spr	ani047_wlk.spr	ani047_wlk.spr	ani047_wlk.spr	ani047_wlk.spr	ani047_bat.spr	ani047_die.spr	ani047_at.spr	ani047_at.spr	ani047_at.spr
ani048	ani048_st.spr	ani048_st.spr	ani048_pst.spr	ani048_wlk.spr	ani048_wlk.spr	ani048_wlk.spr	ani048_wlk.spr	ani048_bat.spr	ani048_die.spr	ani048_at.spr	ani048_at.spr	ani048_at.spr
ani049	ani049_st.spr	ani049_st.spr	ani049_pst.spr	ani049_wlk.spr	ani049_wlk.spr	ani049_wlk.spr	ani049_wlk.spr	ani049_bat.spr	ani049_die.spr	ani049_at.spr	ani049_at.spr	ani049_at.spr
ani050	ani050_st.spr	ani050_st.spr	ani050_pst.spr	ani050_wlk.spr	ani050_wlk.spr	ani050_wlk.spr	ani050_wlk.spr	ani050_bat.spr	ani050_die.spr	ani050_at.spr	ani050_at.spr	ani050_at.spr
ani051	ani051_st.spr	ani051_st.spr	ani051_pst.spr	ani051_wlk.spr	ani051_wlk.spr	ani051_wlk.spr	ani051_wlk.spr	ani051_bat.spr	ani051_die.spr	ani051_at.spr	ani051_at.spr	ani051_at.spr
ani052	ani052_st.spr	ani052_st.spr	ani052_pst.spr	ani052_wlk.spr	ani052_wlk.spr	ani052_wlk.spr	ani052_wlk.spr	ani052_bat.spr	ani052_die.spr	ani052_at.spr	ani052_at.spr	ani052_at.spr
ani053	ani053_st.spr	ani053_st.spr	ani053_pst.spr	ani053_wlk.spr	ani053_wlk.spr	ani053_wlk.spr	ani053_wlk.spr	ani053_bat.spr	ani053_die.spr	ani053_at.spr	ani053_at.spr	ani053_at.spr
ani054	ani054_st.spr	ani054_st.spr	ani054_pst.spr	ani054_wlk.spr	ani054_wlk.spr	ani054_wlk.spr	ani054_wlk.spr	ani054_bat.spr	ani054_die.spr	ani054_at.spr	ani054_at.spr	ani054_at.spr
ani055	ani055_st.spr	ani055_st.spr	ani055_pst.spr	ani055_wlk.spr	ani055_wlk.spr	ani055_wlk.spr	ani055_wlk.spr	ani055_bat.spr	ani055_die.spr	ani055_at.spr	ani055_at.spr	ani055_at.spr
ani056	ani056_st.spr	ani056_st.spr	ani056_pst.spr	ani056_wlk.spr	ani056_wlk.spr	ani056_wlk.spr	ani056_wlk.spr	ani056_bat.spr	ani056_die.spr	ani056_at.spr	ani056_at.spr	ani056_at.spr
ani058	ani058_st.spr	ani058_st.spr	ani058_pst.spr	ani058_wlk.spr	ani058_wlk.spr	ani058_wlk.spr	ani058_wlk.spr	ani058_bat.spr	ani058_die.spr	ani058_at.spr	ani058_at.spr	ani058_at.spr
ani059	ani059_st.spr	ani059_st.spr	ani059_pst.spr	ani059_wlk.spr	ani059_wlk.spr	ani059_wlk.spr	ani059_wlk.spr	ani059_bat.spr	ani059_die.spr	ani059_at.spr	ani059_at.spr	ani059_at.spr
ani060	ani060_st.spr	ani060_st.spr	ani060_pst.spr	ani060_wlk.spr	ani060_wlk.spr	ani060_wlk.spr	ani060_wlk.spr	ani060_bat.spr	ani060_die.spr	ani060_at.spr	ani060_at.spr	ani060_at.spr
ani061	ani061_st.spr	ani061_st.spr	ani061_pst.spr	ani061_wlk.spr	ani061_wlk.spr	ani061_wlk.spr	ani061_wlk.spr	ani061_bat.spr	ani061_die.spr	ani061_at.spr	ani061_at.spr	ani061_at.spr
ani063	ani063_st.spr	ani063_st.spr	ani063_pst.spr	ani063_wlk.spr	ani063_wlk.spr	ani063_wlk.spr	ani063_wlk.spr	ani063_bat.spr	ani063_die.spr	ani063_at.spr	ani063_at.spr	ani063_at.spr
ani065	ani065_st.spr	ani065_st.spr	ani065_pst.spr	ani065_wlk.spr	ani065_wlk.spr	ani065_wlk.spr	ani065_wlk.spr	ani065_bat.spr	ani065_die.spr	ani065_at.spr	ani065_at.spr	ani065_at.spr
ani066	ani066_st.spr	ani066_st.spr	ani066_pst.spr	ani066_wlk.spr	ani066_wlk.spr	ani066_wlk.spr	ani066_wlk.spr	ani066_bat.spr	ani066_die.spr	ani066_at.spr	ani066_at.spr	ani066_at.spr
ani067	ani067_st.spr	ani067_st.spr	ani067_pst.spr	ani067_wlk.spr	ani067_wlk.spr	ani067_wlk.spr	ani067_wlk.spr	ani067_bat.spr	ani067_die.spr	ani067_at.spr	ani067_at.spr	ani067_at.spr
passerby001	passerby001z.spr	passerby001z.spr	passerby001s.spr									
passerby002	passerby002z.spr	passerby002z.spr	passerby002s.spr									
passerby004_1	passerby004s1.spr	passerby004s1.spr	passerby004s1.spr									
passerby004_2	passerby004s2.spr	passerby004s2.spr	passerby004s2.spr									
passerby004_3	passerby004s3.spr	passerby004s3.spr	passerby004s3.spr		
passerby006_1	passerby006s1.spr	passerby006s1.spr	passerby006s1.spr		
passerby006_2	passerby006s2.spr	passerby006s2.spr	passerby006s2.spr		
passerby006_3	passerby006s3.spr	passerby006s3.spr	passerby006s3.spr		
passerby007	passerby007z.spr	passerby007z.spr	passerby007z.spr		
passerby008	passerby008z.spr	passerby008z.spr	passerby008s.spr		
passerby010	passerby010z.spr	passerby010z.spr	passerby010s.spr		
passerby011_1	passerby011s_1.spr	passerby011s_1.spr	passerby011s_1.spr		
passerby011_2	passerby011s_2.spr	passerby011s_2.spr	passerby011s_2.spr		
passerby011_3	passerby011s_3.spr	passerby011s_3.spr	passerby011s_3.spr		
passerby013	passerby013z.spr	passerby013z.spr	passerby013s.spr		
passerby014	passerby014z.spr	passerby014z.spr	passerby014s.spr		
passerby015	passerby015z.spr	passerby015z.spr	passerby015s.spr		
passerby018	passerby018z.spr	passerby018z.spr	passerby018s.spr		
passerby019	passerby019z.spr	passerby019z.spr	passerby019s.spr		
passerby020	passerby020z.spr	passerby020z.spr	passerby020s.spr		
passerby023	passerby023z.spr	passerby023z.spr	passerby023s.spr		
passerby024	passerby024z.spr	passerby024z.spr	passerby024s.spr		
passerby025	passerby025z.spr	passerby025z.spr	passerby025s.spr		
passerby027	passerby027z.spr	passerby027z.spr	passerby027s.spr		
passerby028	passerby028z.spr	passerby028z.spr	passerby028z.spr		
passerby029	passerby029z.spr	passerby029z.spr	passerby029s.spr		
passerby030	passerby030z.spr	passerby030z.spr	passerby030s.spr		
passerby031	passerby031z.spr	passerby031z.spr	passerby031s.spr		
passerby032	passerby032z.spr	passerby032z.spr	passerby032s.spr		
passerby033	passerby033z.spr	passerby033z.spr	passerby033s.spr		
passerby034	passerby034z.spr	passerby034z.spr	passerby034z.spr		
passerby036_1	passerby036s1.spr	passerby036s1.spr	passerby036s1.spr		
passerby036_2	passerby036s2.spr	passerby036s2.spr	passerby036s2.spr		
passerby036_3	passerby036s3.spr	passerby036s3.spr	passerby036s3.spr		
passerby037_1	passerby037s1.spr	passerby037s1.spr	passerby037s1.spr		
passerby037_2	passerby037s2.spr	passerby037s2.spr	passerby037s2.spr		
passerby037_3	passerby037s3.spr	passerby037s3.spr	passerby037s3.spr		
passerby038_1	passerby038s1.spr	passerby038s1.spr	passerby038s1.spr		
passerby038_2	passerby038s2.spr	passerby038s2.spr	passerby038s2.spr		
passerby038_3	passerby038s3.spr	passerby038s3.spr	passerby038s3.spr		
passerby040_1	passerby040s1.spr	passerby040s1.spr	passerby040s1.spr		
passerby040_2	passerby040s2.spr	passerby040s2.spr	passerby040s2.spr		
passerby040_3	passerby040s3.spr	passerby040s3.spr	passerby040s3.spr		
passerby041	passerby041z.spr	passerby041z.spr	passerby041s.spr		
passerby042	passerby042z.spr	passerby042z.spr	passerby042s.spr		
passerby043	passerby043z.spr	passerby043z.spr	passerby043z.spr		
passerby044	passerby044z.spr	passerby044z.spr	passerby044z.spr		
passerby045	passerby045z.spr	passerby045z.spr	passerby045z.spr		
passerby047	passerby047z.spr	passerby047z.spr	passerby047s.spr		
passerby048	passerby048z.spr	passerby048z.spr	passerby048s.spr		
passerby049	passerby049z.spr	passerby049z.spr	passerby049s.spr		
passerby050	passerby050z.spr	passerby050z.spr	passerby050s.spr		
passerby051	passerby051z.spr	passerby051z.spr	passerby051s.spr		
passerby052	passerby052z.spr	passerby052z.spr	passerby052s.spr		
passerby058	passerby058z.spr	passerby058z.spr	passerby058s.spr		
passerby059	passerby059z.spr	passerby059z.spr	passerby059z.spr		
passerby060	passerby060z.spr	passerby060z.spr	passerby060z.spr		
passerby061_1	passerby061z1.spr	passerby061z1.spr	passerby061s1.spr		
passerby061_2	passerby061z2.spr	passerby061z2.spr	passerby061s2.spr		
passerby061_3	passerby061z3.spr	passerby061z3.spr	passerby061s3.spr		
passerby062_1	passerby062z1.spr	passerby062z1.spr	passerby062s1.spr		
passerby062_2	passerby062z2.spr	passerby062z2.spr	passerby062s2.spr		
passerby062_3	passerby062z3.spr	passerby062z3.spr	passerby062s3.spr		
passerby063_1	passerby063z1.spr	passerby063z1.spr	passerby063s1.spr		
passerby063_2	passerby063z2.spr	passerby063z2.spr	passerby063s2.spr		
passerby063_3	passerby063z3.spr	passerby063z3.spr	passerby063s3.spr		
passerby064_1	passerby064z1.spr	passerby064z1.spr	passerby064s1.spr		
passerby064_2	passerby064z2.spr	passerby064z2.spr	passerby064s2.spr		
passerby064_3	passerby064z3.spr	passerby064z3.spr	passerby064s3.spr		
passerby065_1	passerby065z1.spr	passerby065z1.spr	passerby065s1.spr		
passerby065_2	passerby065z2.spr	passerby065z2.spr	passerby065s2.spr		
passerby065_3	passerby065z3.spr	passerby065z3.spr	passerby065s3.spr		
passerby066_1	passerby066z1.spr	passerby066z1.spr	passerby066s1.spr		
passerby066_2	passerby066z2.spr	passerby066z2.spr	passerby066s2.spr		
passerby066_3	passerby066z3.spr	passerby066z3.spr	passerby066s3.spr		
passerby067_1	passerby067z1.spr	passerby067z1.spr	passerby067z1.spr		
passerby067_2	passerby067z2.spr	passerby067z2.spr	passerby067z2.spr		
passerby067_3	passerby067z3.spr	passerby067z3.spr	passerby067z3.spr		
passerby068_1	passerby068z1.spr	passerby068z1.spr	passerby068z1.spr		
passerby068_2	passerby068z2.spr	passerby068z2.spr	passerby068z2.spr		
passerby068_3	passerby068z3.spr	passerby068z3.spr	passerby068z3.spr		
passerby069_1	passerby069z1.spr	passerby069z1.spr	passerby069s1.spr		
passerby069_2	passerby069z2.spr	passerby069z2.spr	passerby069s2.spr		
passerby069_3	passerby069z3.spr	passerby069z3.spr	passerby069s3.spr		
passerby070_1	passerby070z.spr	passerby070z.spr	passerby070s1.spr		
passerby070_2	passerby070z.spr	passerby070z.spr	passerby070s2.spr		
passerby070_3	passerby070z.spr	passerby070z.spr	passerby070s3.spr		
passerby071_1	passerby071z1.spr	passerby071z1.spr	passerby071s1.spr		
passerby071_2	passerby071z2.spr	passerby071z2.spr	passerby071s2.spr		
passerby071_3	passerby071z3.spr	passerby071z3.spr	passerby071s3.spr		
passerby072_1	passerby072s1.spr	passerby072s1.spr	passerby072s1.spr		
passerby072_2	passerby072s2.spr	passerby072s2.spr	passerby072s2.spr		
passerby072_3	passerby072s3.spr	passerby072s3.spr	passerby072s3.spr		
passerby073_1	passerby073z1.spr	passerby073z1.spr	passerby073s1.spr		
passerby073_2	passerby073z2.spr	passerby073z2.spr	passerby073s2.spr		
passerby073_3	passerby073z3.spr	passerby073z3.spr	passerby073s3.spr		
passerby074_1	passerby074z1.spr	passerby074z1.spr	passerby074z1.spr		
passerby074_2	passerby074z2.spr	passerby074z2.spr	passerby074z2.spr		
passerby074_3	passerby074z3.spr	passerby074z3.spr	passerby074z3.spr		
passerby075_1	passerby075z1.spr	passerby075z1.spr	passerby075s1.spr		
passerby075_2	passerby075z2.spr	passerby075z2.spr	passerby075s2.spr		
passerby075_3	passerby075z3.spr	passerby075z3.spr	passerby075s3.spr		
passerby076_1	passerby076s1.spr	passerby076s1.spr	passerby076s1.spr		
passerby076_2	passerby076s2.spr	passerby076s2.spr	passerby076s2.spr		
passerby076_3	passerby076s3.spr	passerby076s3.spr	passerby076s3.spr		
passerby077_1	passerby077z1.spr	passerby077z1.spr	passerby077s1.spr		
passerby077_2	passerby077z2.spr	passerby077z2.spr	passerby077s2.spr		
passerby077_3	passerby077z3.spr	passerby077z3.spr	passerby077s3.spr		
passerby079_1	passerby079z1.spr	passerby079z1.spr	passerby079s1.spr		
passerby079_2	passerby079z2.spr	passerby079z2.spr	passerby079s2.spr		
passerby079_3	passerby079z3.spr	passerby079z3.spr	passerby079s3.spr		
passerby080	passerby080z.spr	passerby080z.spr	passerby080s.spr		
passerby088	passerby088.spr	passerby088.spr	passerby088.spr		
passerby092	passerby092_st.spr	passerby092_st.spr	passerby092_pst.spr		
passerby094	passerby094_st.spr	passerby094_st.spr	passerby094_pst.spr		
passerby095	passerby095_st.spr	passerby095_st.spr	passerby095_pst.spr		
passerby097	passerby097_st.spr	passerby097_st.spr	passerby097_pst.spr
passerby099	passerby099_st.spr	passerby099_st.spr	passerby099_pst.spr
passerby100	passerby100_st.spr	passerby100_st.spr	passerby100_pst.spr
passerby101	passerby101_st.spr	passerby101_st.spr	passerby101_pst.spr
passerby102	passerby102_st.spr	passerby102_st.spr	passerby102_pst.spr
passerby103	passerby103_st.spr	passerby103_st.spr	passerby103_pst.spr
passerby104	passerby104_st.spr	passerby104_st.spr	passerby104_pst.spr
passerby105	passerby105_st.spr	passerby105_st.spr	passerby105_pst.spr
passerby108	passerby108_st.spr	passerby108_st.spr	passerby108_pst.spr
passerby110	passerby110_st.spr	passerby110_st.spr	passerby110_pst.spr
passerby112	passerby112.spr	passerby112.spr	passerby112.spr
passerby117	passerby117_st.spr	passerby117_st.spr	passerby117_pst.spr
passerby118	passerby118_st.spr	passerby118_st.spr	passerby118_pst.spr
passerby119	passerby119_st.spr	passerby119_st.spr	passerby119_pst.spr
passerby120	passerby120_st.spr	passerby120_st.spr	passerby120_pst.spr
passerby121	passerby121_st.spr	passerby121_st.spr	passerby121_pst.spr
passerby122	passerby122_st.spr	passerby122_st.spr	passerby122_pst.spr
passerby123	passerby123_st.spr	passerby123_st.spr	passerby123_pst.spr
passerby124	passerby124_st.spr	passerby124_st.spr	passerby124_pst.spr
passerby125	passerby125_st.spr	passerby125_st.spr	passerby125_pst.spr
passerby127	passerby127_st.spr	passerby127_st.spr	passerby127_pst.spr
passerby128	passerby128_st.spr	passerby128_st.spr	passerby128_pst.spr
passerby129	passerby129_st.spr	passerby129_st.spr	passerby129_pst.spr
passerby130	passerby130_st.spr	passerby130_st.spr	passerby130_pst.spr
passerby131	passerby131_st.spr	passerby131_st.spr	passerby131_pst.spr
passerby132	passerby132_st.spr	passerby132_st.spr	passerby132_pst.spr
passerby133	passerby133_st.spr	passerby133_st.spr	passerby133_pst.spr
passerby134	passerby134_st.spr	passerby134_st.spr	passerby134_pst.spr
passerby135	passerby135_st.spr	passerby135_st.spr	passerby135_pst.spr
passerby136	passerby136_st.spr	passerby136_st.spr	passerby136_pst.spr
passerby137	passerby137_st.spr	passerby137_st.spr	passerby137_pst.spr
passerby138	passerby138_st.spr	passerby138_st.spr	passerby138_pst.spr
passerby139	passerby139_st.spr	passerby139_st.spr	passerby139_pst.spr
passerby140	passerby140_st.spr	passerby140_st.spr	passerby140_pst.spr
passerby141	passerby141_st.spr	passerby141_st.spr	passerby141_pst.spr
passerby142	passerby142_st.spr	passerby142_st.spr	passerby142_pst.spr
passerby144	passerby144_st.spr	passerby144_st.spr	passerby144_pst.spr
passerby145	passerby145_st.spr	passerby145_st.spr	passerby145_pst.spr
passerby146	passerby146_st.spr	passerby146_st.spr	passerby146_pst.spr
passerby147	passerby147_st.spr	passerby147_st.spr	passerby147_pst.spr
passerby148	passerby148_st.spr	passerby148_st.spr	passerby148_pst.spr
passerby149	passerby149_st.spr	passerby149_st.spr	passerby149_pst.spr
passerby150	passerby150_st.spr	passerby150_st.spr	passerby150_pst.spr
passerby151	passerby151_st.spr	passerby151_st.spr	passerby151_pst.spr
passerby152	passerby152_st.spr	passerby152_st.spr	passerby152_pst.spr
passerby153	passerby153_st.spr	passerby153_st.spr	passerby153_pst.spr
