前后缀名称	是否前缀	五行属性要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明	近程武器	暗器	盔甲	戒指	项链	靴子	腰带	头盔	护腕	腰坠	马
精确	0	3	6	98	11	12	-1	-1	0	0	加敏捷	0	0	5000	5000	5000	5000	5000	5000	5000	5000	0
正确	0	3	7	98	13	14	-1	-1	0	0	加敏捷	0	0	4000	4000	4000	4000	4000	4000	4000	4000	0
清风	0	3	8	98	15	16	-1	-1	0	0	加敏捷	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0
暴风	0	3	9	98	17	18	-1	-1	0	0	加敏捷	0	0	2000	2000	2000	2000	2000	2000	2000	2000	0
疾电	0	3	10	98	19	20	-1	-1	0	0	加敏捷	0	0	1000	1000	1000	1000	1000	1000	1000	1000	0
火焰	0	3	1	122	1	10	-1	-1	0	0	加火伤害	10000	10000	0	0	0	0	0	0	0	0	0
光芒	0	3	2	122	10	20	-1	-1	0	0	加火伤害	9000	9000	0	0	0	0	0	0	0	0	0
热情	0	3	3	122	20	30	-1	-1	0	0	加火伤害	8000	8000	0	0	0	0	0	0	0	0	0
激情	0	3	4	122	30	40	-1	-1	0	0	加火伤害	7000	7000	0	0	0	0	0	0	0	0	0
燃烧	0	3	5	122	40	50	-1	-1	0	0	加火伤害	6000	6000	0	0	0	0	0	0	0	0	0
焚化	0	3	6	122	50	60	-1	-1	0	0	加火伤害	5000	5000	0	0	0	0	0	0	0	0	0
火红	0	3	7	122	60	70	-1	-1	0	0	加火伤害	4000	4000	0	0	0	0	0	0	0	0	0
赤焰	0	3	8	122	70	80	-1	-1	0	0	加火伤害	3000	3000	0	0	0	0	0	0	0	0	0
真火	0	3	9	122	80	90	-1	-1	0	0	加火伤害	2000	2000	0	0	0	0	0	0	0	0	0
炎帝	0	3	10	122	90	100	-1	-1	0	0	加火伤害	1000	1000	0	0	0	0	0	0	0	0	0
蔚蓝	0	4	2	105	1	5	-1	-1	0	0	加抗冰性	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
寒梅	0	4	4	105	5	10	-1	-1	0	0	加抗冰性	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	0
孤松	0	4	6	105	10	15	-1	-1	0	0	加抗冰性	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
傲竹	0	4	8	105	15	20	-1	-1	0	0	加抗冰性	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
蓝宝石	0	4	10	105	20	25	-1	-1	0	0	加抗冰性	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
土精	0	4	3	134	2	6	-1	-1	0	0	电吸收	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
土魄	0	4	6	134	6	10	-1	-1	0	0	电吸收	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
土神	0	4	10	134	10	15	-1	-1	0	0	电吸收	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
甘草	0	4	2	108	25	25	-1	-1	0	0	降低中毒时间	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
羚麝	0	4	4	108	50	50	-1	-1	0	0	降低中毒时间	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	0
犀角	0	4	6	108	75	75	-1	-1	0	0	降低中毒时间	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	0
朱蛤	0	4	10	108	100	100	-1	-1	0	0	降低中毒时间	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	0
雷鸣	0	4	1	124	1	10	-1	-1	0	0	加电伤害	10000	10000	0	0	0	0	0	0	0	0	0
电击	0	4	2	124	10	20	-1	-1	0	0	加电伤害	9000	9000	0	0	0	0	0	0	0	0	0
电闪	0	4	3	124	20	30	-1	-1	0	0	加电伤害	8000	8000	0	0	0	0	0	0	0	0	0
触电	0	4	4	124	30	40	-1	-1	0	0	加电伤害	7000	7000	0	0	0	0	0	0	0	0	0
电光	0	4	5	124	40	50	-1	-1	0	0	加电伤害	6000	6000	0	0	0	0	0	0	0	0	0
狂电	0	4	6	124	50	60	-1	-1	0	0	加电伤害	5000	5000	0	0	0	0	0	0	0	0	0
暴雷	0	4	7	124	60	70	-1	-1	0	0	加电伤害	4000	4000	0	0	0	0	0	0	0	0	0
天雷	0	4	8	124	70	80	-1	-1	0	0	加电伤害	3000	3000	0	0	0	0	0	0	0	0	0
雷公	0	4	9	124	80	90	-1	-1	0	0	加电伤害	2000	2000	0	0	0	0	0	0	0	0	0
雷神	0	4	10	124	90	100	-1	-1	0	0	加电伤害	1000	1000	0	0	0	0	0	0	0	0	0
金意	0	0	2	140	1	1	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
金性	0	0	4	140	2	2	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
金韵	0	0	6	140	3	3	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
金气	0	0	8	140	4	4	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
金心	0	0	10	140	5	5	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
水意	0	2	2	142	1	1	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
水性	0	2	4	142	2	2	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
水韵	0	2	6	142	3	3	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
水气	0	2	8	142	4	4	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
水心	0	2	10	142	5	5	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
木意	0	1	2	141	1	1	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
木性	0	1	4	141	2	2	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
木韵	0	1	6	141	3	3	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
木气	0	1	8	141	4	4	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
木心	0	1	10	141	5	5	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
火意	0	3	2	143	1	1	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
火性	0	3	4	143	2	2	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
火韵	0	3	6	143	3	3	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
火气	0	3	8	143	4	4	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
火心	0	3	10	143	5	5	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
土意	0	4	2	144	1	1	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
土性	0	4	4	144	2	2	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
土韵	0	4	6	144	3	3	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
土气	0	4	8	144	4	4	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
土心	0	4	10	144	5	5	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
